"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"ACT for America","Pittsburgh","Pennsylvania","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","San Fernando Valley","California","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","San Gabriel Valley","California","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Santa Clarita","California","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Spokane Valley","Washington","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Terre Haute","Indiana","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Tucson","Arizona","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Viera","Florida","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Walsenburg","Colorado","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Whitehall","Montana","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Wilkes-Barre","Pennsylvania","ACT for America ","Anti-Muslim","","","2019"
"American Freedom Alliance","Encino","California","","Anti-Muslim","Yes","","2019"
"American Freedom Defense Initiative","New York","New York","","Anti-Muslim","Yes","","2019"
"American Freedom Law Center","Ann Arbor","Michigan","","Anti-Muslim","Yes","","2019"
"American Public Policy Alliance","Washington","District of Columbia","","Anti-Muslim","Yes","","2019"
"Bomb Islam","Phoenix","Arizona","","Anti-Muslim","Yes","","2019"
"Bureau on American Islamic Relations","Irving","Texas","","Anti-Muslim","Yes","","2019"
"Center for Security Policy","Washington","District of Columbia","Center for Security Policy","Anti-Muslim","Yes","","2019"
"Christian Action Network","Forest","Virginia","","Anti-Muslim","Yes","","2019"
"Citizens for National Security","Boca Raton","Florida","","Anti-Muslim","Yes","","2019"
"Clarion Project","Washington","District of Columbia","","Anti-Muslim","Yes","","2019"
"Concerned Community Citizens","St. Cloud","Minnesota","","Anti-Muslim","Yes","","2019"
"Counter Jihad Coalition","Santa Monica","California","","Anti-Muslim","Yes","","2019"
"Cultures In Context Incorporated/Turning Point Project","Immokalee","Florida","","Anti-Muslim","Yes","","2019"
"David Horowitz Freedom Center","Sherman Oaks","California","","Anti-Muslim","Yes","","2019"
"Florida Family Association","Tampa","Florida","","Anti-Muslim","Yes","","2019"
"Fortress of Faith","Bellingham","Washington","","Anti-Muslim","Yes","","2019"
"Foundation for Advocating Christian Truth","Bronx","New York","","Anti-Muslim","Yes","","2019"
"G416 Patriots","Boerne","Texas","","Anti-Muslim","Yes","","2019"
"G416 Patriots","Meridian","Idaho","","Anti-Muslim","","","2019"
"Glasov Gang Productions","Los Angeles","California","","Anti-Muslim","Yes","","2019"
"Global Faith Institute","Omaha","Nebraska","","Anti-Muslim","Yes","","2019"
"Jihad Watch","Sherman Oaks","California","","Anti-Muslim","Yes","","2019"
"Last Chance Patriots","Dayton","Montana","","Anti-Muslim","Yes","","2019"
"Political Islam","Nashville","Tennessee","","Anti-Muslim","Yes","","2019"
"Proclaiming Justice to the Nations","Franklin","Tennessee","","Anti-Muslim","Yes","","2019"
"Radio Jihad/Global Patriot Radio","","New York","","Anti-Muslim","Yes","Yes","2019"
"Refugee Resettlement Watch","Fairplay","Maryland","","Anti-Muslim","Yes","","2019"
"Rise Align Ignite Reclaim","Fishkill","New York","","Anti-Muslim","Yes","","2019"
"Sea Jay Foundation","Highlands Ranch","Colorado","","Anti-Muslim","Yes","","2019"
"Sharia Crime Stoppers","Mount Clemens","Michigan","","Anti-Muslim","Yes","","2019"
"Soldiers of Odin","","Nevada","","Anti-Muslim","","Yes","2019"
"Soldiers of Odin","","Idaho","","Anti-Muslim","","Yes","2019"
"Soldiers of Odin","","California","","Anti-Muslim","","Yes","2019"
"Soldiers of Odin","","Illinois","","Anti-Muslim","","Yes","2019"
"Southeast Michigan Tea Party","Utica","Michigan","","Anti-Muslim","Yes","","2019"
"Sunshine on Government (SONG) Alliance","Covington","Georgia","","Anti-Muslim","Yes","","2019"
"The Shoebat Foundation","Newtown","Pennsylvania","","Anti-Muslim","Yes","","2019"
"The Straight Way and More","Marble Hill","Missouri","","Anti-Muslim","Yes","","2019"
"The United West","Lake Worth","Florida","","Anti-Muslim","Yes","","2019"
"Thomas More Law Center","Ann Arbor","Michigan","","Anti-Muslim","Yes","","2019"
"Truth in Love Project","Chattaroy","Washington","","Anti-Muslim","Yes","","2019"
"Truth in Textbooks","Boerne","Texas","","Anti-Muslim","Yes","","2019"
"Unconstrained Analytics","Washington","District of Columbia","","Anti-Muslim","Yes","","2019"
"Understanding the Threat","Dallas","Texas","","Anti-Muslim","Yes","","2019"
"Virginia Christian Alliance","Henrico","Virginia","","Anti-Muslim","Yes","","2019"
"Ambassadors of Christ","Brooklyn","New York","","Black Separatist","Yes","","2019"
"Army of Israel","","Missouri","","Black Separatist","Yes","Yes","2019"
"Army of Israel","Cleveland","Ohio","","Black Separatist","","","2019"
"Black Riders Liberation Party","Los Angeles","California","","Black Separatist","Yes","","2019"
"Black Riders Liberation Party","Las Vegas","Nevada","","Black Separatist","","","2019"
"Black Riders Liberation Party","New York","New York","","Black Separatist","","","2019"
"Black Riders Liberation Party","Portland","Oregon","","Black Separatist","","","2019"
"Great Millstone","New York","New York","","Black Separatist","Yes","","2019"
"Great Millstone","","Louisiana","","Black Separatist","","Yes","2019"
"Great Millstone","","Mississippi","","Black Separatist","","Yes","2019"
"Great Millstone","Atlanta","Georgia","","Black Separatist","","","2019"
"Great Millstone","Baltimore","Maryland","","Black Separatist","","","2019"
"Great Millstone","Birmingham","Alabama","","Black Separatist","","","2019"
"Great Millstone","Charlotte","North Carolina","","Black Separatist","","","2019"
"Great Millstone","Chicago","Illinois","","Black Separatist","","","2019"
"Great Millstone","Cleveland","Ohio","","Black Separatist","","","2019"
"Great Millstone","Dallas","Texas","","Black Separatist","","","2019"
"Great Millstone","Denver","Colorado","","Black Separatist","","","2019"
"Great Millstone","Des Moines","Iowa","","Black Separatist","","","2019"
"Great Millstone","Detroit","Michigan","","Black Separatist","","","2019"
"Great Millstone","Honolulu","Hawaii","","Black Separatist","","","2019"
"Great Millstone","Houston","Texas","","Black Separatist","","","2019"
"Great Millstone","Indianapolis","Indiana","","Black Separatist","","","2019"
"Great Millstone","Kansas City","Missouri","","Black Separatist","","","2019"
"Great Millstone","Las Vegas","Nevada","","Black Separatist","","","2019"
"Great Millstone","Little Rock","Arkansas","","Black Separatist","","","2019"
"Great Millstone","Los Angeles","California","","Black Separatist","","","2019"
"Great Millstone","Memphis","Tennessee","","Black Separatist","","","2019"
"Great Millstone","Miami","Florida","","Black Separatist","","","2019"
"Great Millstone","Milwaukee","Wisconsin","","Black Separatist","","","2019"
"Great Millstone","Nashville","Tennessee","","Black Separatist","","","2019"
"Great Millstone","Oakland","California","","Black Separatist","","","2019"
"Great Millstone","Omaha","Nebraska","","Black Separatist","","","2019"
"Great Millstone","San Antonio","Texas","","Black Separatist","","","2019"
"Great Millstone","St. Louis","Missouri","","Black Separatist","","","2019"
"Great Millstone","Tampa","Florida","","Black Separatist","","","2019"
"Great Millstone","Valdosta","Georgia","","Black Separatist","","","2019"
"Great Millstone","West Palm Beach","Florida","","Black Separatist","","","2019"
"House of David","Brooklyn","New York","","Black Separatist","Yes","","2019"
"House of Israel","New York","New York","","Black Separatist","Yes","","2019"
"House of Israel","Atlanta","Georgia","","Black Separatist","","","2019"
"House of Israel","Inglewood","California","","Black Separatist","","","2019"
"House of Israel","Washington","District of Columbia","","Black Separatist","","","2019"
"International Society of Indigenous Sovereigns","Atlanta","Georgia","","Black Separatist","Yes","","2019"
"Israel United In Christ","Mount Vernon","New York","","Black Separatist","Yes","","2019"
"Israel United In Christ","Atlanta","Georgia","","Black Separatist","","","2019"
"Israel United In Christ","Austin","Texas","","Black Separatist","","","2019"
"Israel United In Christ","Bakersfield","California","","Black Separatist","","","2019"
"Israel United In Christ","Birmingham","Alabama","","Black Separatist","","","2019"
"Israel United In Christ","Brockton","Massachusetts","","Black Separatist","","","2019"
"Israel United In Christ","Chicago","Illinois","","Black Separatist","","","2019"
"Israel United In Christ","Columbia","South Carolina","","Black Separatist","","","2019"
"Israel United In Christ","Concord","North Carolina","","Black Separatist","","","2019"
"Israel United In Christ","Corpus Christi","Texas","","Black Separatist","","","2019"
"Israel United In Christ","Dallas","Texas","","Black Separatist","","","2019"
"Israel United In Christ","Denver","Colorado","","Black Separatist","","","2019"
"Israel United In Christ","Detroit","Michigan","","Black Separatist","","","2019"
"Israel United In Christ","Grand Rapids","Michigan","","Black Separatist","","","2019"
"Israel United In Christ","Heath","Ohio","","Black Separatist","","","2019"
"Israel United In Christ","Honolulu","Hawaii","","Black Separatist","","","2019"
"Israel United In Christ","Houston","Texas","","Black Separatist","","","2019"
"Israel United In Christ","Jackson","Mississippi","","Black Separatist","","","2019"
"Israel United In Christ","Jacksonville","Florida","","Black Separatist","","","2019"
"Israel United In Christ","Kansas City","Kansas","","Black Separatist","","","2019"
"Israel United In Christ","Lafayette","Louisiana","","Black Separatist","","","2019"
"Israel United In Christ","Las Vegas","Nevada","","Black Separatist","","","2019"
"Israel United In Christ","Little Rock","Arkansas","","Black Separatist","","","2019"
"Israel United In Christ","Los Angeles","California","","Black Separatist","","","2019"
"Israel United In Christ","Louisville","Kentucky","","Black Separatist","","","2019"
"Israel United In Christ","Lubbock","Texas","","Black Separatist","","","2019"
"Israel United In Christ","Memphis","Tennessee","","Black Separatist","","","2019"
"Israel United In Christ","Miami","Florida","","Black Separatist","","","2019"
"Israel United In Christ","Mobile","Alabama","","Black Separatist","","","2019"
"Israel United In Christ","Nashville","Tennessee","","Black Separatist","","","2019"
"Israel United In Christ","New Orleans","Louisiana","","Black Separatist","","","2019"
"Israel United In Christ","Newark","New Jersey","","Black Separatist","","","2019"
"Israel United In Christ","Newport News","Virginia","","Black Separatist","","","2019"
"Israel United In Christ","Oklahoma City","Oklahoma","","Black Separatist","","","2019"
"Israel United In Christ","Orlando","Florida","","Black Separatist","","","2019"
"Israel United In Christ","Philadelphia","Pennsylvania","","Black Separatist","","","2019"
"Israel United In Christ","Phoenix","Arizona","","Black Separatist","","","2019"
"Israel United In Christ","Rochester","New York","","Black Separatist","","","2019"
"Israel United In Christ","Sacramento","California","","Black Separatist","","","2019"
"Israel United In Christ","San Antonio","Texas","","Black Separatist","","","2019"
"Israel United In Christ","Savannah","Georgia","","Black Separatist","","","2019"
"Israel United In Christ","Seattle","Washington","","Black Separatist","","","2019"
"Israel United In Christ","St. Louis","Missouri","","Black Separatist","","","2019"
"Israel United In Christ","Tallahassee","Florida","","Black Separatist","","","2019"
"Israel United In Christ","Tulsa","Oklahoma","","Black Separatist","","","2019"
"Israel United In Christ","Turtle Creek","Pennsylvania","","Black Separatist","","","2019"
"Israel United In Christ","Upper Marlboro","Maryland","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Upper Darby","Pennsylvania","","Black Separatist","Yes","","2019"
"Israelite School of Universal Practical Knowledge","","Mississippi","","Black Separatist","","Yes","2019"
"Israelite School of Universal Practical Knowledge","","Louisiana","","Black Separatist","","Yes","2019"
"Israelite School of Universal Practical Knowledge","Atlanta","Georgia","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Austin","Texas","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Baltimore","Maryland","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Boston","Massachusetts","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Charleston","South Carolina","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Charlotte","North Carolina","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Chicago","Illinois","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Cincinnati","Ohio","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Dallas","Texas","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Detroit","Michigan","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Durham","North Carolina","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Fayetteville","North Carolina","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Fort Worth","Texas","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Greensboro","North Carolina","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Greenville","North Carolina","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Greenville","South Carolina","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Hartford","Connecticut","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Houston","Texas","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Indianapolis","Indiana","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Jacksonville","Florida","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Kansas City","Missouri","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Los Angeles","California","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Louisville","Kentucky","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Milwaukee","Wisconsin","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Minneapolis","Minnesota","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Nashville","Tennessee","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","New York","New York","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Oakland","California","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Oklahoma City","Oklahoma","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Phoenix","Arizona","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Richmond","Virginia","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","St. Louis","Missouri","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Syracuse","New York","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Tampa","Florida","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Washington","District of Columbia","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Wilmington","Delaware","","Black Separatist","","","2019"
"Israelite School of Universal Practical Knowledge","Winston-Salem","North Carolina","","Black Separatist","","","2019"
"Israelite the Branches","Baltimore","Maryland","","Black Separatist","Yes","","2019"
"Israelites Saints of Christ","Richmond","Virginia","","Black Separatist","Yes","","2019"
"Israelites Saints of Christ","","New Jersey","","Black Separatist","","Yes","2019"
"Israelites Saints of Christ","","North Carolina","","Black Separatist","","Yes","2019"
"Israelites Saints of Christ","","California","","Black Separatist","","Yes","2019"
"Israelites Saints of Christ","Detroit","Michigan","","Black Separatist","","","2019"
"Israelites Saints of Christ","Huntsville","Alabama","","Black Separatist","","","2019"
"Lion of Judah - Jeshurun Lions","Chicago","Illinois","","Black Separatist","Yes","","2019"
"Lions of Israel","Mount Vernon","New York","","Black Separatist","Yes","","2019"
"Masharah Yasharahla - Government of Israel","Raleigh","North Carolina","","Black Separatist","Yes","","2019"
"Mountains of Israel","Houston","Texas","","Black Separatist","Yes","","2019"
"Nation of Islam","Chicago","Illinois","Nation of Islam","Black Separatist","Yes","","2019"
"Nation of Islam","Akron","Ohio","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Atlanta","Georgia","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Austin","Texas","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Birmingham","Alabama","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Brooklyn","New York","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Brunswick","Georgia","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Camden","New Jersey","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Charlotte","North Carolina","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Chattanooga","Tennessee","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Cleveland","Ohio","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Columbia","South Carolina","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Compton","California","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Dallas","Texas","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Dayton","Ohio","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Denver","Colorado","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Detroit","Michigan","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Dorchester","Massachusetts","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Durham","North Carolina","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Fort Lauderdale","Florida","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Fort Worth","Texas","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Grand Rapids","Michigan","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Greensboro","North Carolina","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Greenville","South Carolina","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Houston","Texas","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Indianapolis","Indiana","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Jacksonville","Florida","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Kansas City","Missouri","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Lexington","Kentucky","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Los Angeles","California","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Louisville","Kentucky","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Memphis","Tennessee","Nation of Islam","Black Separatist","","","2019"
"Nation of Islam","Miami","Florida","Nation of Islam","Black Separatist","","","2019"
